Target TargetName Sensitivity Specificity Precision Accuracy F1-score Informedness
0 "0" 0 1 0 0.99501 0 0
1 "1" 0.876374 0.990585 0.850667 0.983999 0.863329 0.866959
2 "2" 0.974255 0.98595 0.811512 0.985266 0.885468 0.960205
3 "3" 0.539171 0.990976 0.680233 0.975444 0.601542 0.530147
4 "4" 0.75748 0.990825 0.813875 0.979087 0.784666 0.748305
5 "5" 0.835749 0.973423 0.619332 0.966651 0.711446 0.809172
6 "6" 0.607843 0.996392 0.673913 0.991683 0.639175 0.604235
7 "7" 0.69161 0.995403 0.844875 0.984791 0.760599 0.687013
8 "8" 0.560364 0.997702 0.89781 0.982494 0.690042 0.558067
9 "9" 0.943277 0.997695 0.9413 0.995643 0.942288 0.940972
10 "10" 0.9 0.995152 0.911043 0.990177 0.905488 0.895152
11 "11" 0.792 0.986121 0.635974 0.980355 0.705463 0.778121
12 "12" 0.939351 0.991523 0.868318 0.988593 0.902439 0.930874
13 "13" 0.965071 0.99789 0.967575 0.995881 0.966321 0.962962
14 "14" 0.966418 0.997006 0.875 0.996356 0.91844 0.963423
15 "15" 0.986607 0.999113 0.952586 0.998891 0.969298 0.98572
16 "16" 0.93865 1 1 0.999208 0.968354 0.93865
17 "17" 0.994505 0.996982 0.907268 0.996911 0.948886 0.991488
18 "18" 0.753846 0.991663 0.742424 0.984316 0.748092 0.745509
19 "19" 0.948276 0.978991 0.172414 0.97885 0.291777 0.927267
20 "20" 0.639535 0.992503 0.369128 0.990098 0.468085 0.632038
21 "21" 0.0333333 1 1 0.993108 0.0645161 0.0333333
22 "22" 0.883562 0.999199 0.928058 0.997861 0.905263 0.88276
23 "23" 0.873333 0.986131 0.430921 0.984791 0.577093 0.859464
24 "24" 0.0638298 1 1 0.993029 0.12 0.0638298
25 "25" 0.773707 0.990789 0.762208 0.982811 0.767914 0.764496
26 "26" 0.553191 0.995336 0.641975 0.988752 0.594286 0.548528
27 "27" 0.204082 0.999443 0.588235 0.996356 0.30303 0.203525
28 "28" 0.883117 0.993665 0.632558 0.992316 0.737127 0.876782
29 "29" 0 0.99992 0 0.992554 0 -7.98021e-05
30 "30" 0.165563 0.997915 0.490196 0.987959 0.247525 0.163478
31 "31" 0.176895 0.997732 0.636364 0.979721 0.276836 0.174628
32 "32" 0.962264 0.99992 0.980769 0.999762 0.971429 0.962185
33 "33" 0.921569 0.99533 0.764228 0.994138 0.835556 0.916899
34 "34" 0.928 0.99864 0.87218 0.99794 0.899225 0.92664
35 "35" 0.922481 0.992972 0.805869 0.990811 0.860241 0.915453
36 "36" 0.89916 0.99968 0.963964 0.998733 0.930435 0.89884
37 "37" 0.458333 0.999841 0.916667 0.997782 0.611111 0.458174
38 "38" 0.924309 0.998408 0.970948 0.994376 0.947054 0.922717
39 "39" 0.911111 0.999122 0.88172 0.998495 0.896175 0.910233
40 "40" 0.606383 0.999761 0.95 0.996831 0.74026 0.606144
41 "41" 0.229508 0.99992 0.933333 0.996198 0.368421 0.229429
42 "42" 0.72549 0.998962 0.850575 0.996752 0.783069 0.724452

- AVG 0.690921 0.995083 0.756652 0.990483 0.676925 0.686004
